Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa, Porcentaje de las empresas que tienen un área encargada de las TIC , GOBERNANZA , Porcentaje de las empresas que tienen presupuesto para las TIC , Porcentaje del presupuesto total asignado a las TIC , PRESUPUESTO , Porcentaje de las empresas que invierten en capacitar al personal , Porcentaje de las empresas que considera que es importante que su empresa domine las TIC , CAPACITIACIÓN , Porcentaje de las empresas que cuentan con un protocolo para dar respuesta a incidentes digitales , Porcentaje de las empresas que han estimado los costos de incidentes digitales , Porcentaje de las empresas que tienen un área encargada de la seguridad informática , SEGURIDAD , Porcentaje de las empresas que consideran que el acceso a las TIC es importante , Porcentaje de las empresas que han realizado innovaciones en su empresa usando las TIC , INNOVACIÓN , Calculo del Indice 
2017,Total,Sector Terciario,Servicios,Total,Micros,  32.0 ,  32.0 ,  23.8 ,  12.5 ,  20.4 ,  20.9 ,  67.7 ,  39.6 ,  10.6 ,  3.9 ,  10.9 ,  9.3 ,  68.9 ,  25.6 ,  42.9 ,  28.9 
2017,Total,Sector Terciario,Servicios,Total,Pymes,  60.0 ,  60.0 ,  50.8 ,  25.5 ,  43.2 ,  64.5 ,  88.2 ,  74.0 ,  39.9 ,  14.9 ,  38.8 ,  34.6 ,  86.8 ,  52.6 ,  66.3 ,  55.6 
2017,Total,Sector Terciario,Servicios,Total,Grandes,  92.3 ,  92.3 ,  81.8 ,  39.1 ,  69.0 ,  84.9 ,  95.5 ,  89.1 ,  62.0 ,  26.5 ,  69.5 ,  57.1 ,  97.4 ,  78.8 ,  86.3 ,  78.8 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Total,  58.4 ,  58.4 ,  55.1 ,  21.2 ,  44.9 ,  52.1 ,  81.0 ,  63.7 ,  42.0 ,  14.2 ,  46.0 ,  37.7 ,  78.0 ,  29.9 ,  49.2 ,  50.8 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,  53.9 ,  53.9 ,  47.4 ,  19.1 ,  38.9 ,  48.0 ,  86.3 ,  63.3 ,  39.4 ,  16.7 ,  39.3 ,  34.8 ,  77.0 ,  17.4 ,  41.2 ,  46.4 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Total,  65.5 ,  65.5 ,  54.5 ,  37.3 ,  49.3 ,  61.9 ,  88.1 ,  72.4 ,  40.5 ,  17.2 ,  35.9 ,  34.4 ,  94.5 ,  52.5 ,  69.3 ,  58.2 
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,  55.6 ,  55.6 ,  54.5 ,  15.4 ,  42.8 ,  51.6 ,  72.5 ,  60.0 ,  42.4 ,  25.8 ,  44.0 ,  39.6 ,  65.2 ,  37.9 ,  48.8 ,  49.3 
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Educación,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Educación,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Educación,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Educación,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,  78.2 ,  78.2 ,  48.3 ,  28.3 ,  42.3 ,  40.2 ,  84.1 ,  57.8 ,  34.2 ,  26.9 ,  35.0 ,  33.0 ,  89.1 ,  52.3 ,  67.0 ,  55.6 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,  74.8 ,  74.8 ,  38.6 ,  20.0 ,  33.0 ,  19.8 ,  79.7 ,  43.8 ,  19.4 ,  15.6 ,  20.8 ,  19.0 ,  86.8 ,  30.9 ,  53.3 ,  44.8 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Total,Sector Terciario,Servicios,Otros servicios,Total,  42.2 ,  42.2 ,  34.2 ,  17.5 ,  29.1 ,  37.3 ,  75.1 ,  52.4 ,  21.2 ,  7.4 ,  21.6 ,  18.6 ,  75.6 ,  36.9 ,  52.4 ,  38.9 
2017,Total,Sector Terciario,Servicios,Otros servicios,Micros,  30.8 ,  30.8 ,  23.4 ,  12.4 ,  20.1 ,  20.9 ,  67.9 ,  39.7 ,  10.3 ,  3.4 ,  10.6 ,  9.0 ,  68.5 ,  25.8 ,  42.9 ,  28.5 
2017,Total,Sector Terciario,Servicios,Otros servicios,Pymes,  59.9 ,  59.9 ,  50.9 ,  25.3 ,  43.2 ,  66.0 ,  87.6 ,  74.6 ,  40.7 ,  13.7 ,  39.6 ,  35.0 ,  87.7 ,  56.1 ,  68.7 ,  56.3 
2017,Total,Sector Terciario,Servicios,Otros servicios,Grandes,  88.4 ,  88.4 ,  77.1 ,  38.2 ,  65.4 ,  85.8 ,  97.6 ,  90.5 ,  51.1 ,  22.2 ,  61.5 ,  48.5 ,  97.6 ,  71.8 ,  82.1 ,  75.0 
2017,Region Atlantico,Total,Total,Total,Total,  33.2 ,  33.2 ,  31.0 ,  15.5 ,  26.3 ,  32.4 ,  60.2 ,  43.5 ,  16.3 ,  3.9 ,  16.2 ,  13.8 ,  63.7 ,  32.7 ,  45.1 ,  32.4 
2017,Region Atlantico,Total,Total,Total,Micros,  22.6 ,  22.6 ,  22.2 ,  11.9 ,  19.1 ,  19.5 ,  52.3 ,  32.7 ,  6.7 ,  2.5 ,  6.4 ,  5.7 ,  55.3 ,  23.1 ,  36.0 ,  23.2 
2017,Region Atlantico,Total,Total,Total,Pymes,  55.5 ,  55.5 ,  45.0 ,  21.4 ,  37.9 ,  65.6 ,  82.8 ,  72.5 ,  34.4 ,  7.2 ,  35.2 ,  29.2 ,  87.8 ,  55.3 ,  68.3 ,  52.7 
2017,Region Atlantico,Total,Total,Total,Grandes,  97.4 ,  97.4 ,  95.1 ,  42.4 ,  79.3 ,  94.3 ,  92.9 ,  93.7 ,  79.6 ,  11.5 ,  79.6 ,  66.0 ,  97.8 ,  84.9 ,  90.0 ,  85.3 
2017,Region Atlantico,Sector Primario,Total,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Total,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Total,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Total,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
