Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Proporcion de las empresas que usan computador/laptop,Proporcion de las empresas que usan tablets o telefonos inteligentes,Proporcion de las empresa que usan internet,Proporcion de las empresas que se conectan a internet a traves de red contratada,Proporcion de las empresas con intranet,Proporcion de las empresas con LAN,Proporcion de las empresas con extranet, Infraestructura ,Porcentaje de los empleados q usan internet para sus labores,Porcentaje de las empresas que usan internet para email,Porcentaje de las empresas que usan internet para Voip,Porcentaje de las empresas que usan internet para mensaje,Porcentaje de las empresas que usan internet para capacitacion, Procesamiento ,Porcentaje de los negocios que usan internet para obtener informacion sobre bienes y servicios,Porcentaje de los negocios que usan internet para obtener informacion sobre el gobierno,"Porcentaje de los negocios que usan internet para interactuar (tramites, PQR) con el gobierno",Porcentaje de los negocios que usan internet para acceso a bancos,Porcentaje de los negocios que usan internet para compras,Porcentaje de las compras realizadas a traves de comercio electronico,Porcentaje de las empresas q realizan los pagos a proveedores o colaboradores a traves de internet,Porcentaje de las empresas que usan internet para contratar empleados,Facilidad para acceder a presonas capacitadas (4 o 5), Insumos ,Porcentaje de los negocios que usan internet para atencion a los clientes,Porcentaje de los negocios que usan internet para ventas,Porcentaje de las VENTAS realizadas a traves de comercio electronico sobre valor de ventas,Porcentaje de los negocios que reciben ordenes por internet,Porcentaje de los negocios que distribuyen productos en linea,Porcentaje de distribucion fisico vs digital,Porcentaje de empresas con medios de pago electronico para los clientes,Porcentaje de las empresas que tiene pagina WEB,Porcentaje de las empresas que tiene presencia en redes sociales,Porcentaje delas empresas que tienen aplicaciones moviles, Distribucion , Calculo del Indice 
2015,Total,Sector Primario,Agricultura y ganadería,Total,Pymes,100%,49%,96%,94%,31%,31%,31%,  68 ,10%,77%,10%,48%,10%,  27 ,48%,71%,23%,32%,37%,37%,10%,10%,10%,  32 ,58%,28%,28%,28%,7%,7%,17%,41%,30%,4%,  27 ,  38 
2015,Total,Sector Primario,Agricultura y ganadería,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Total,Sector Primario,Minas y canteras,Total,Total,39%,25%,35%,21%,7%,7%,7%,  24 ,10.00%,28%,3%,17%,3%,  12 ,17%,20%,11%,12%,9%,9%,3%,3%,3%,  10 ,21%,5%,5%,5%,3%,3%,9%,0%,19%,9%,  7 ,  13 
2015,Total,Sector Primario,Minas y canteras,Total,Micros,39%,25%,35%,21%,7%,7%,7%,  24 ,10%,28%,3%,17%,3%,  12 ,17%,20%,11%,12%,9%,9%,3%,3%,3%,  10 ,21%,5%,5%,5%,3%,3%,9%,0%,19%,9%,  7 ,  13 
2015,Total,Sector Primario,Minas y canteras,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Total,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Total,Sector Secundario,Total,Total,Total,67%,56%,68%,48%,19%,19%,16%,48,23%,55%,11%,34%,10%,26,36%,20%,14%,26%,24%,20%,7%,10%,10%,20,42%,9%,7%,11%,7%,7%,17%,24%,29%,6%,15,27
2015,Total,Sector Secundario,Total,Total,Micros,60%,55%,61%,38%,13%,13%,13%,  43 ,22%,49%,6%,31%,6%,  22 ,31%,15%,7%,20%,21%,21%,6%,6%,6%,  16 ,37%,8%,8%,8%,5%,5%,13%,15%,23%,5%,  12 ,  23 
2015,Total,Sector Secundario,Total,Total,Pymes,97%,59%,92%,83%,28%,28%,28%,  66 ,22%,74%,9%,46%,9%,  30 ,46%,24%,25%,31%,24%,24%,9%,9%,9%,  24 ,55%,4%,4%,4%,7%,7%,28%,47%,35%,5%,  18 ,  34 
2015,Total,Sector Secundario,Total,Total,Grandes,100%,74%,100%,100%,91%,100%,46%,  88 ,50%,100%,88%,63%,79%,  75 ,99%,96%,96%,99%,76%,9%,10%,66%,79%,  69 ,89%,35%,9%,72%,38%,38%,45%,96%,96%,19%,  53 ,  71 
2015,Total,Sector Secundario,Industrias manufactureras,Total,Total,61%,55%,62%,43%,17%,18%,15%,45,23%,51%,10%,32%,10%,24,34%,22%,14%,24%,22%,19%,6%,9%,10%,19,39%,11%,9%,12%,6%,6%,16%,24%,33%,6%,16,26
2015,Total,Sector Secundario,Industrias manufactureras,Total,Micros,52%,54%,55%,32%,11%,11%,11%,  39 ,22%,44%,5%,27%,5%,  20 ,27%,17%,7%,18%,18%,18%,5%,5%,5%,  15 ,33%,10%,10%,10%,4%,4%,13%,15%,27%,6%,  13 ,  22 
2015,Total,Sector Secundario,Industrias manufactureras,Total,Pymes,95%,51%,89%,81%,27%,27%,27%,  63 ,22%,71%,9%,45%,9%,  29 ,45%,23%,29%,30%,25%,25%,9%,9%,9%,  24 ,54%,5%,5%,5%,7%,7%,26%,47%,40%,6%,  18 ,  34 
2015,Total,Sector Secundario,Industrias manufactureras,Total,Grandes,100%,74%,100%,100%,91%,100%,46%,  88 ,50%,100%,88%,63%,79%,  75 ,99%,96%,96%,99%,76%,9%,10%,66%,79%,  69 ,89%,35%,9%,72%,38%,38%,45%,96%,96%,19%,  53 ,  71 
2015,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,55%,59%,61%,39%,18%,20%,13%,45,24%,51%,13%,32%,12%,26,36%,22%,19%,27%,17%,11%,6%,11%,12%,19,39%,5%,2%,8%,7%,7%,9%,24%,33%,3%,10,23
2015,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,46%,59%,51%,21%,7%,7%,7%,  35 ,22%,41%,5%,25%,5%,  19 ,25%,17%,1%,17%,10%,10%,5%,5%,5%,  12 ,31%,2%,2%,2%,4%,4%,4%,17%,27%,2%,  8 ,  19 
2015,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,86%,60%,79%,72%,24%,24%,24%,  59 ,22%,63%,8%,39%,8%,  26 ,39%,4%,44%,26%,16%,16%,8%,8%,8%,  19 ,47%,1%,1%,1%,6%,6%,11%,18%,22%,0%,  10 ,  29 
2015,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,100%,60%,99%,99%,86%,100%,37%,  84 ,42%,100%,80%,63%,65%,  68 ,99%,93%,94%,98%,68%,9%,10%,55%,65%,  66 ,79%,39%,8%,68%,31%,31%,39%,90%,90%,18%,  50 ,  67 
2015,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,43%,29%,44%,37%,15%,16%,13%,31,23%,36%,8%,23%,8%,20,24%,16%,8%,18%,15%,12%,4%,7%,8%,13,28%,10%,8%,11%,5%,5%,21%,18%,19%,6%,13,19
2015,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,28%,25%,30%,22%,7%,7%,7%,  21 ,22%,24%,3%,15%,3%,  14 ,15%,10%,0%,10%,10%,10%,3%,3%,3%,  8 ,18%,9%,9%,9%,2%,2%,17%,10%,13%,6%,  10 ,  13 
2015,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,100%,31%,100%,95%,32%,32%,32%,  65 ,22%,80%,10%,50%,10%,  32 ,50%,22%,21%,33%,24%,24%,10%,10%,10%,  25 ,60%,4%,4%,4%,8%,8%,35%,38%,31%,5%,  18 ,  35 
2015,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,100%,78%,100%,100%,92%,100%,43%,  89 ,51%,99%,88%,62%,77%,  74 ,98%,97%,94%,99%,75%,10%,10%,66%,77%,  69 ,90%,41%,9%,76%,36%,36%,45%,94%,94%,19%,  54 ,  72 
2015,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,91%,63%,80%,57%,22%,18%,20%,59,23%,65%,12%,41%,12%,29,43%,43%,33%,30%,46%,43%,8%,11%,12%,32,50%,29%,27%,30%,8%,8%,38%,35%,50%,20%,30,37
2015,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,89%,65%,76%,46%,15%,15%,15%,  55 ,22%,60%,8%,38%,8%,  26 ,38%,37%,27%,25%,46%,46%,8%,8%,8%,  29 ,45%,33%,33%,33%,6%,6%,36%,28%,41%,23%,  30 ,  35 
2015,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,100%,51%,100%,100%,33%,33%,33%,  70 ,22%,80%,10%,50%,10%,  32 ,50%,60%,51%,33%,34%,34%,10%,10%,10%,  33 ,60%,4%,4%,4%,8%,8%,50%,50%,83%,0%,  23 ,  39 
2015,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,100%,75%,100%,100%,92%,10%,46%,  80 ,48%,100%,90%,63%,86%,  76 ,100%,90%,90%,100%,70%,9%,10%,68%,86%,  69 ,95%,31%,7%,65%,36%,36%,47%,96%,96%,19%,  51 ,  69 
2015,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,78%,67%,76%,67%,25%,26%,24%,58,24%,62%,12%,38%,11%,28,40%,46%,9%,29%,54%,50%,8%,11%,11%,32,47%,25%,23%,26%,8%,8%,7%,25%,23%,21%,22,35
2015,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,73%,69%,73%,62%,21%,21%,21%,  55 ,22%,58%,7%,36%,7%,  25 ,36%,48%,3%,24%,57%,57%,7%,7%,7%,  31 ,44%,26%,26%,26%,6%,6%,4%,15%,19%,25%,  21 ,  33 
2015,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,100%,53%,83%,83%,28%,28%,28%,  64 ,22%,67%,8%,42%,8%,  27 ,42%,17%,14%,28%,28%,28%,8%,8%,8%,  22 ,50%,10%,10%,10%,6%,6%,13%,52%,19%,1%,  18 ,  33 
2015,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,100%,79%,100%,100%,92%,100%,55%,  90 ,56%,100%,93%,63%,83%,  78 ,99%,99%,98%,99%,80%,11%,10%,73%,83%,  71 ,93%,44%,12%,75%,43%,43%,47%,98%,98%,20%,  57 ,  74 
2015,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,77%,61%,63%,33%,14%,14%,11%,47,23%,51%,10%,32%,10%,24,34%,25%,6%,24%,14%,10%,6%,9%,10%,16,39%,6%,4%,8%,7%,7%,16%,27%,36%,8%,14,26
2015,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,71%,57%,53%,32%,11%,11%,11%,  42 ,22%,43%,5%,27%,5%,  20 ,27%,22%,1%,18%,11%,11%,5%,5%,5%,  13 ,32%,5%,5%,5%,4%,4%,14%,9%,21%,7%,  10 ,  21 
2015,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,100%,89%,100%,21%,7%,7%,7%,  62 ,22%,80%,10%,50%,10%,  32 ,50%,12%,2%,33%,9%,9%,10%,10%,10%,  18 ,60%,0%,0%,0%,8%,8%,17%,96%,93%,4%,  23 ,  34 
2015,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,100%,53%,100%,100%,93%,100%,27%,  83 ,49%,100%,83%,63%,80%,  74 ,100%,100%,97%,100%,70%,9%,10%,67%,80%,  68 ,93%,43%,10%,77%,53%,53%,47%,97%,97%,19%,  59 ,  71 
2015,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,73%,71%,96%,64%,24%,25%,22%,61,24%,78%,14%,48%,13%,33,50%,25%,19%,35%,22%,18%,10%,12%,13%,24,59%,9%,9%,12%,9%,9%,14%,18%,50%,9%,18,34
2015,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,66%,70%,95%,56%,19%,19%,19%,  57 ,22%,76%,9%,47%,9%,  30 ,47%,12%,11%,32%,16%,16%,9%,9%,9%,  20 ,57%,9%,9%,9%,7%,7%,3%,5%,49%,0%,  14 ,  30 
2015,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,100%,81%,100%,93%,31%,31%,31%,  75 ,22%,80%,10%,50%,10%,  32 ,50%,73%,36%,33%,35%,35%,10%,10%,10%,  33 ,60%,10%,10%,10%,8%,8%,65%,60%,40%,56%,  29 ,  42 
2015,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,100%,66%,100%,100%,92%,100%,53%,  88 ,54%,100%,90%,63%,84%,  77 ,97%,87%,97%,100%,84%,7%,10%,58%,84%,  70 ,87%,18%,3%,68%,34%,34%,43%,97%,97%,20%,  48 ,  71 
2015,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,59%,56%,66%,56%,22%,22%,19%,48,23%,54%,10%,34%,10%,25,35%,9%,22%,25%,33%,30%,7%,10%,10%,23,41%,20%,19%,22%,7%,7%,26%,34%,38%,1%,22,30
2015,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,49%,55%,58%,45%,15%,15%,15%,  41 ,22%,46%,6%,29%,6%,  21 ,29%,2%,20%,19%,29%,29%,6%,6%,6%,  19 ,35%,21%,21%,21%,4%,4%,23%,21%,32%,0%,  20 ,  25 
2015,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,97%,49%,99%,99%,33%,33%,33%,  69 ,22%,80%,10%,50%,10%,  31 ,50%,15%,3%,33%,41%,41%,10%,10%,10%,  28 ,60%,8%,8%,8%,8%,8%,35%,84%,52%,3%,  25 ,  38 
2015,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,100%,85%,100%,100%,94%,100%,49%,  91 ,51%,100%,87%,63%,88%,  76 ,100%,98%,97%,100%,83%,6%,10%,71%,88%,  71 ,92%,39%,8%,74%,39%,39%,46%,99%,99%,20%,  55 ,  73 
2015,Total,Sector Secundario,Servicios Publicos,Total,Total,56%,49%,66%,55%,18%,18%,18%,  45 ,22.40%,53%,7%,33%,7%,  23 ,33%,14%,12%,22%,12%,12%,7%,7%,7%,  15 ,40%,0%,0%,0%,5%,5%,15%,15%,18%,11%,  9 ,  23 
2015,Total,Sector Secundario,Servicios Publicos,Total,Micros,50%,43%,61%,49%,16%,16%,16%,  41 ,22%,49%,6%,31%,6%,  22 ,31%,15%,14%,20%,14%,14%,6%,6%,6%,  15 ,37%,0%,0%,0%,5%,5%,14%,7%,7%,12%,  7 ,  21 
2015,Total,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Total,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Total,Sector Secundario,Construccion,Total,Total,90%,58%,86%,61%,20%,20%,20%,  59 ,22.40%,69%,9%,43%,9%,  28 ,43%,9%,8%,29%,29%,29%,9%,9%,9%,  22 ,52%,1%,1%,1%,7%,7%,15%,20%,11%,3%,  11 ,  30 
2015,Total,Sector Secundario,Construccion,Total,Micros,89%,56%,84%,57%,19%,19%,19%,  57 ,22%,67%,8%,42%,8%,  28 ,42%,7%,6%,28%,30%,30%,8%,8%,8%,  22 ,50%,1%,1%,1%,6%,6%,12%,16%,10%,3%,  10 ,  29 
2015,Total,Sector Secundario,Construccion,Total,Pymes,100%,75%,99%,89%,30%,30%,30%,  72 ,22%,79%,10%,49%,10%,  31 ,49%,30%,18%,33%,22%,22%,10%,10%,10%,  24 ,59%,2%,2%,2%,8%,8%,34%,46%,15%,2%,  17 ,  36 
2015,Total,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Total,Sector Terciario,Total,Total,Total,66%,47%,63%,48%,19%,19%,17%,45,33%,52%,10%,32%,10%,27,34%,22%,14%,24%,21%,18%,6%,10%,10%,19,40%,8%,6%,9%,7%,7%,21%,28%,30%,8%,15,27
2015,Total,Sector Terciario,Total,Total,Micros,58%,42%,56%,38%,13%,13%,13%,  39 ,31%,45%,6%,28%,6%,  23 ,28%,17%,6%,19%,15%,15%,6%,6%,6%,  14 ,33%,6%,6%,6%,4%,4%,16%,18%,24%,7%,  12 ,  22 
2015,Total,Sector Terciario,Total,Total,Pymes,96%,66%,91%,83%,28%,28%,28%,  67 ,31%,73%,9%,45%,9%,  32 ,45%,28%,31%,30%,33%,33%,9%,9%,9%,  27 ,54%,6%,6%,6%,7%,7%,41%,61%,45%,8%,  22 ,  37 
2015,Total,Sector Terciario,Total,Total,Grandes,100%,72%,100%,100%,88%,99%,51%,  88 ,66%,100%,82%,62%,81%,  79 ,98%,96%,92%,98%,73%,12%,10%,74%,81%,  69 ,92%,36%,7%,67%,43%,43%,46%,84%,84%,17%,  52 ,  72 
2015,Total,Sector Terciario,Comercio,Total,Total,60%,49%,58%,46%,18%,19%,16%,43,33%,47%,10%,29%,10%,26,31%,15%,14%,22%,21%,18%,6%,9%,10%,18,36%,6%,5%,8%,6%,6%,25%,18%,24%,7%,13,25
2015,Total,Sector Terciario,Comercio,Total,Micros,50%,41%,50%,35%,12%,12%,12%,  35 ,31%,40%,5%,25%,5%,  22 ,25%,10%,4%,17%,11%,11%,5%,5%,5%,  11 ,30%,4%,4%,4%,4%,4%,16%,12%,20%,6%,  10 ,  19 
2015,Total,Sector Terciario,Comercio,Total,Pymes,100%,84%,86%,85%,28%,28%,28%,  71 ,31%,69%,9%,43%,9%,  31 ,43%,17%,45%,29%,52%,52%,9%,9%,9%,  32 ,52%,6%,6%,6%,7%,7%,65%,27%,18%,8%,  20 ,  38 
2015,Total,Sector Terciario,Comercio,Total,Grandes,100%,82%,100%,100%,81%,100%,44%,  89 ,70%,100%,91%,62%,89%,  83 ,99%,98%,95%,99%,85%,14%,10%,84%,89%,  73 ,94%,35%,6%,76%,33%,33%,47%,93%,93%,19%,  53 ,  74 
2015,Total,Sector Terciario,Servicios,Total,Total,72%,47%,69%,50%,19%,20%,18%,48,33%,56%,10%,35%,10%,29,37%,29%,16%,26%,23%,20%,7%,10%,10%,21,43%,9%,8%,10%,7%,7%,20%,36%,36%,8%,17,29
2015,Total,Sector Terciario,Servicios,Total,Micros,67%,43%,62%,40%,13%,13%,13%,  43 ,31%,50%,6%,31%,6%,  25 ,31%,24%,9%,21%,20%,20%,6%,6%,6%,  17 ,37%,8%,8%,8%,5%,5%,16%,25%,29%,8%,  14 ,  25 
2015,Total,Sector Terciario,Servicios,Total,Pymes,93%,57%,93%,82%,27%,27%,27%,  65 ,31%,75%,9%,47%,9%,  33 ,47%,34%,24%,31%,24%,24%,9%,9%,9%,  25 ,56%,6%,6%,6%,7%,7%,28%,79%,58%,8%,  24 ,  36 
2015,Total,Sector Terciario,Servicios,Total,Grandes,100%,70%,100%,100%,90%,99%,53%,  88 ,65%,100%,81%,62%,79%,  78 ,98%,96%,91%,98%,71%,11%,10%,72%,79%,  68 ,92%,36%,7%,65%,45%,45%,46%,81%,81%,16%,  51 ,  71 
2015,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Total,56%,44%,46%,40%,16%,17%,14%,38,33%,38%,9%,24%,8%,23,25%,12%,9%,19%,11%,8%,5%,8%,8%,12,29%,5%,4%,7%,6%,6%,14%,23%,22%,9%,11,21
2015,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,45%,38%,32%,25%,8%,8%,8%,  28 ,31%,26%,3%,16%,3%,  17 ,16%,2%,2%,11%,6%,6%,3%,3%,3%,  7 ,19%,4%,4%,4%,2%,2%,9%,12%,14%,9%,  7 ,  15 
2015,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,100%,61%,100%,100%,33%,33%,33%,  72 ,31%,80%,10%,50%,10%,  34 ,50%,35%,18%,33%,19%,19%,10%,10%,10%,  24 ,60%,3%,3%,3%,8%,8%,27%,56%,43%,7%,  19 ,  37 
2015,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,100%,77%,100%,100%,96%,99%,55%,  90 ,66%,100%,88%,63%,75%,  79 ,98%,97%,98%,100%,65%,10%,10%,76%,75%,  67 ,95%,35%,5%,65%,50%,50%,47%,96%,96%,19%,  54 ,  73 
2015,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,46%,37%,44%,26%,11%,12%,10%,31,32%,36%,8%,23%,8%,22,25%,25%,12%,18%,10%,7%,4%,7%,8%,13,28%,5%,3%,6%,6%,6%,13%,19%,23%,2%,10,19
2015,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,40%,33%,37%,15%,5%,5%,5%,  25 ,31%,30%,4%,19%,4%,  19 ,19%,17%,1%,12%,5%,5%,4%,4%,4%,  8 ,22%,2%,2%,2%,3%,3%,4%,7%,12%,2%,  5 ,  14 
2015,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,61%,48%,61%,61%,20%,20%,20%,  46 ,31%,49%,6%,31%,6%,  25 ,31%,50%,46%,20%,15%,15%,6%,6%,6%,  20 ,37%,8%,8%,8%,5%,5%,49%,57%,62%,1%,  22 ,  28 
2015,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,100%,79%,100%,100%,88%,100%,54%,  90 ,52%,100%,82%,63%,79%,  74 ,100%,94%,89%,100%,78%,13%,10%,68%,79%,  69 ,94%,57%,13%,70%,55%,55%,47%,87%,87%,17%,  60 ,  73 
2015,Total,Sector Terciario,Servicios,Información y comunicaciones,Total,97%,54%,97%,72%,27%,27%,26%,65,34%,79%,14%,49%,14%,36,51%,44%,13%,36%,26%,22%,10%,13%,14%,27,60%,12%,10%,13%,10%,10%,6%,56%,45%,10%,22,37
2015,Total,Sector Terciario,Servicios,Información y comunicaciones,Micros,96%,48%,96%,65%,22%,22%,22%,  61 ,31%,77%,10%,48%,10%,  33 ,48%,38%,9%,32%,19%,19%,10%,10%,10%,  23 ,58%,7%,7%,7%,7%,7%,3%,46%,44%,9%,  18 ,  34 
2015,Total,Sector Terciario,Servicios,Información y comunicaciones,Pymes,100%,82%,100%,100%,33%,33%,33%,  76 ,31%,80%,10%,50%,10%,  34 ,50%,54%,6%,33%,44%,44%,10%,10%,10%,  32 ,60%,27%,27%,27%,8%,8%,7%,96%,33%,13%,  32 ,  44 
2015,Total,Sector Terciario,Servicios,Información y comunicaciones,Grandes,100%,81%,100%,100%,96%,100%,74%,  93 ,89%,100%,96%,63%,91%,  90 ,100%,97%,96%,100%,85%,17%,10%,82%,91%,  73 ,93%,42%,11%,72%,62%,62%,47%,95%,95%,19%,  59 ,  79 
2015,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,89%,65%,82%,65%,22%,22%,22%,60,31%,66%,8%,41%,8%,30,41%,33%,19%,27%,30%,30%,8%,8%,8%,25,49%,10%,10%,10%,6%,6%,35%,20%,29%,4%,18,33
2015,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,87%,69%,80%,61%,20%,20%,20%,  59 ,31%,64%,8%,40%,8%,  29 ,40%,31%,21%,27%,31%,31%,8%,8%,8%,  24 ,48%,11%,11%,11%,6%,6%,36%,10%,28%,2%,  17 ,  32 
2015,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,100%,39%,100%,89%,30%,30%,30%,  66 ,31%,80%,10%,50%,10%,  34 ,50%,42%,6%,33%,23%,23%,10%,10%,10%,  25 ,60%,6%,6%,6%,8%,8%,24%,87%,36%,15%,  24 ,  37 
2015,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
