Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con ciberseguridad,Porcentaje de las empresas con ciberseguridad en plan de implementación,Porcentaje de las empresas con computación en la nube ,Porcentaje de las empresas con computación en la nube en plan de implementación,INFRAESTRUCTURA,Porcentaje de las empresas con sensores/M2M/IOT,Porcentaje de las empresas con sensores/M2M/IOT en plan de implementación,Porcentaje de las empresas con robótica,Porcentaje de las empresas con robótica en plan de implementacion,Porcentaje de las empresas con impresoras 3D,Porcentaje de las empresas con impresoras 3D en plan de implementación,Porcentaje de las empresas con realidad virtual,Porcentaje de las empresas con realidad virtual en plan de implementación,PROCESAMIENTO,Porcentaje de las empresas con Big Data,Porcentaje de las empresas con Big Data en plan de implementación,Porcentaje de las empresas con inteligencia artificial,Porcentaje de las empresas con inteligencia artificial en plan de implementación,Porcentaje de las empresas con block chain,Porcentaje de las empresas con block chain en plan de implementación, DISTRIBUCION , Calculo del Indice 
2017,Total,Sector Secundario,Total,Total,Pymes,27.1%,11.1%,17.1%,12.0%,18,13.0%,4.3%,0.2%,3.9%,2.2%,6.3%,0.0%,5.8%,4,0.9%,7.6%,0.2%,0.3%,1.7%,0.6%,  1 ,  8 
2017,Total,Sector Secundario,Total,Total,Grandes,47.3%,17.7%,38.5%,14.0%,32,16.8%,8.3%,2.1%,1.8%,3.9%,1.8%,2.1%,0.0%,6,5.0%,12.7%,4.4%,0.0%,2.1%,1.8%,  4 ,  14 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Total,22.2%,14.1%,13.0%,9.0%,15,9.7%,5.8%,0.5%,3.0%,2.7%,5.9%,1.1%,2.6%,4,1.5%,3.3%,0.7%,1.0%,0.5%,1.2%,  1 ,  7 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Micros,18.7%,16.7%,7.0%,9.6%,13,6.5%,8.3%,0.9%,3.2%,2.7%,8.2%,2.4%,1.5%,4,1.8%,0.0%,0.7%,2.3%,1.0%,2.3%,  1 ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Pymes,22.1%,11.2%,14.7%,8.6%,15,11.0%,2.9%,0.3%,2.9%,2.6%,4.3%,0.0%,3.7%,3,1.0%,4.6%,0.4%,0.0%,0.0%,0.0%,  1 ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Grandes,49.1%,19.3%,41.7%,7.7%,33,21.2%,12.0%,0.0%,2.6%,2.6%,2.6%,0.0%,0.0%,6,3.3%,16.1%,3.3%,0.0%,0.0%,2.6%,  3 ,  14 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,19.4%,12.5%,9.3%,10.3%,13,8.0%,5.0%,0.0%,0.8%,0.0%,7.3%,0.0%,1.4%,2,0.0%,3.5%,0.0%,2.3%,0.0%,1.8%,  1 ,  5 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,12.3%,18.9%,4.7%,10.4%,11,4.7%,8.2%,0.0%,0.0%,0.0%,9.2%,0.0%,0.0%,2,0.0%,0.0%,0.0%,4.7%,0.0%,2.3%,  1 ,  4 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,24.0%,5.5%,14.3%,7.7%,14,9.9%,0.0%,0.0%,1.8%,0.0%,6.3%,0.0%,3.2%,3,0.0%,5.5%,0.0%,0.0%,0.0%,0.0%,  -   ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,43.4%,9.1%,12.6%,26.6%,24,21.7%,12.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,0.0%,17.5%,0.0%,0.0%,0.0%,9.1%,  2 ,  10 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,26.6%,11.2%,13.6%,11.6%,17,4.9%,5.6%,0.0%,1.1%,0.0%,3.4%,0.0%,0.0%,1,1.7%,4.3%,1.1%,0.0%,0.0%,0.0%,  1 ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,26.6%,4.8%,4.8%,11.0%,13,4.8%,4.8%,0.0%,0.0%,0.0%,4.8%,0.0%,0.0%,1,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,  1 ,  5 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,25.0%,12.4%,13.8%,13.1%,17,5.5%,6.6%,0.0%,1.9%,0.0%,2.9%,0.0%,0.0%,2,0.0%,2.9%,1.9%,0.0%,0.0%,0.0%,  1 ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,24.1%,27.7%,20.8%,6.4%,20,9.8%,6.2%,0.0%,9.5%,5.4%,8.4%,3.5%,11.3%,6,0.0%,5.2%,0.0%,0.0%,0.0%,5.4%,  1 ,  9 
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,29.1%,27.4%,6.8%,15.1%,19,0.0%,10.3%,0.0%,11.2%,0.0%,0.0%,8.3%,0.0%,3,0.0%,0.0%,0.0%,0.0%,0.0%,12.8%,  1 ,  8 
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,15.9%,27.3%,26.7%,0.0%,18,15.9%,3.8%,0.0%,9.7%,11.1%,17.3%,0.0%,23.1%,8,0.0%,10.6%,0.0%,0.0%,0.0%,0.0%,  1 ,  9 
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,27.3%,12.5%,17.0%,15.5%,19,15.7%,6.0%,0.0%,2.4%,6.4%,3.3%,0.0%,1.0%,5,6.0%,5.9%,1.3%,2.6%,0.0%,0.0%,  3 ,  9 
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,20.8%,12.2%,13.9%,3.2%,14,4.9%,10.0%,0.0%,0.0%,9.6%,8.1%,0.0%,2.6%,4,3.2%,0.0%,0.0%,6.4%,0.0%,0.0%,  1 ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,31.1%,10.0%,14.4%,25.3%,21,22.0%,0.0%,0.0%,4.3%,4.6%,0.0%,0.0%,0.0%,6,6.1%,10.6%,0.0%,0.0%,0.0%,0.0%,  2 ,  10 
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,25.7%,8.4%,2.2%,12.6%,13,12.5%,8.4%,2.2%,8.4%,10.6%,9.4%,0.0%,7.9%,7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,27.7%,10.9%,0.0%,25.2%,16,0.0%,8.4%,0.0%,16.9%,16.9%,14.4%,0.0%,6.0%,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  7 
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,22.9%,7.1%,0.0%,0.0%,8,24.4%,9.9%,5.2%,0.0%,5.2%,0.0%,0.0%,11.7%,8,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  5 
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,17.9%,12.2%,14.2%,1.8%,12,11.4%,5.5%,1.8%,3.0%,1.6%,6.3%,3.2%,1.4%,4,1.4%,0.0%,1.4%,0.0%,2.1%,0.7%,  1 ,  6 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,14.7%,20.8%,10.7%,4.2%,13,17.9%,9.7%,4.2%,3.2%,0.0%,11.4%,7.5%,3.2%,7,3.2%,0.0%,3.2%,0.0%,4.9%,1.7%,  3 ,  8 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,15.6%,6.3%,16.2%,0.0%,11,4.3%,2.6%,0.0%,1.7%,1.7%,2.6%,0.0%,0.0%,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,77.1%,0.0%,22.9%,0.0%,30,33.3%,0.0%,0.0%,16.6%,16.6%,0.0%,0.0%,0.0%,11,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  14 
2017,Total,Sector Secundario,Servicios Publicos,Total,Total,40.8%,18.9%,27.0%,25.8%,29,2.1%,7.6%,0.0%,4.7%,0.0%,2.7%,0.0%,2.1%,1,2.0%,16.8%,0.0%,4.1%,0.0%,11.6%,  3 ,  11 
2017,Total,Sector Secundario,Servicios Publicos,Total,Micros,29.0%,8.6%,16.0%,8.6%,17,8.6%,20.4%,0.0%,8.6%,0.0%,0.0%,0.0%,8.6%,4,0.0%,8.6%,0.0%,17.1%,0.0%,8.6%,  3 ,  8 
2017,Total,Sector Secundario,Servicios Publicos,Total,Pymes,40.4%,28.0%,30.2%,20.2%,31,0.0%,5.7%,0.0%,5.7%,0.0%,5.7%,0.0%,0.0%,1,2.2%,25.7%,0.0%,0.0%,0.0%,20.2%,  4 ,  12 
2017,Total,Sector Secundario,Servicios Publicos,Total,Grandes,51.5%,12.5%,31.0%,49.4%,37,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,3.5%,9.0%,0.0%,0.0%,0.0%,0.0%,  2 ,  13 
2017,Total,Sector Secundario,Construccion,Total,Total,35.2%,12.6%,19.5%,14.7%,22,14.9%,7.5%,0.4%,4.0%,2.2%,8.1%,0.4%,7.3%,5,2.4%,8.0%,0.4%,0.5%,3.5%,0.0%,  2 ,  10 
2017,Total,Sector Secundario,Construccion,Total,Micros,42.0%,22.4%,18.1%,10.9%,25,8.3%,12.5%,0.0%,0.0%,1.7%,4.9%,0.0%,1.7%,3,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%,  2 ,  10 
2017,Total,Sector Secundario,Construccion,Total,Pymes,33.4%,9.7%,19.5%,16.2%,21,16.7%,6.2%,0.0%,5.3%,1.9%,9.3%,0.0%,9.1%,5,0.7%,10.6%,0.0%,0.7%,4.1%,0.0%,  2 ,  9 
2017,Total,Sector Secundario,Construccion,Total,Grandes,32.0%,16.0%,32.0%,0.0%,22,16.0%,0.0%,16.0%,0.0%,16.0%,0.0%,16.0%,0.0%,13,16.0%,0.0%,16.0%,0.0%,16.0%,0.0%,  12 ,  16 
2017,Total,Sector Terciario,Total,Total,Total,28.7%,11.7%,17.7%,10.1%,18,8.1%,6.5%,1.4%,3.3%,1.9%,5.1%,0.8%,4.8%,3,2.7%,5.1%,1.8%,3.0%,1.3%,4.1%,  2 ,  8 
2017,Total,Sector Terciario,Total,Total,Micros,22.3%,13.2%,12.2%,8.9%,15,7.2%,6.1%,0.6%,2.7%,1.6%,5.4%,0.5%,4.4%,3,0.6%,3.4%,0.5%,3.0%,0.8%,3.1%,  1 ,  6 
2017,Total,Sector Terciario,Total,Total,Pymes,36.1%,9.1%,23.9%,10.8%,22,9.3%,5.1%,1.6%,4.1%,2.1%,4.1%,1.3%,5.3%,4,4.8%,7.1%,3.0%,2.7%,1.3%,6.3%,  4 ,  10 
2017,Total,Sector Terciario,Total,Total,Grandes,71.3%,7.9%,54.8%,22.2%,44,13.5%,21.7%,12.0%,7.4%,5.5%,6.8%,2.1%,6.8%,9,18.8%,15.5%,11.2%,5.2%,7.4%,3.2%,  11 ,  21 
2017,Total,Sector Terciario,Comercio,Total,Total,25.2%,11.4%,12.2%,12.3%,16,5.5%,6.1%,1.4%,4.2%,1.2%,6.3%,0.0%,4.2%,3,0.9%,3.6%,0.4%,2.9%,1.0%,3.6%,  1 ,  7 
2017,Total,Sector Terciario,Comercio,Total,Micros,23.8%,12.0%,9.9%,11.3%,15,5.7%,6.1%,0.7%,3.0%,1.6%,6.4%,0.0%,4.2%,3,0.0%,2.3%,0.5%,3.4%,0.7%,2.8%,  1 ,  6 
2017,Total,Sector Terciario,Comercio,Total,Pymes,23.8%,9.0%,14.4%,13.2%,16,5.8%,2.3%,1.7%,6.3%,0.0%,4.3%,0.0%,4.5%,2,1.7%,5.8%,0.0%,1.7%,2.3%,6.7%,  2 ,  7 
2017,Total,Sector Terciario,Comercio,Total,Grandes,74.6%,13.9%,55.9%,30.2%,48,0.0%,37.3%,18.6%,18.6%,0.0%,18.6%,0.0%,0.0%,7,18.6%,18.6%,0.0%,0.0%,0.0%,0.0%,  6 ,  21 
2017,Total,Sector Terciario,Servicios,Total,Total,32.4%,12.0%,23.6%,7.8%,21,10.8%,6.8%,1.3%,2.4%,2.7%,3.8%,1.7%,5.4%,4,4.6%,6.6%,3.2%,3.1%,1.5%,4.6%,  4 ,  10 
2017,Total,Sector Terciario,Servicios,Total,Micros,20.0%,14.9%,15.6%,5.3%,15,9.3%,6.0%,0.4%,2.2%,1.5%,4.1%,1.3%,4.6%,3,1.5%,4.9%,0.5%,2.4%,1.0%,3.5%,  2 ,  7 
2017,Total,Sector Terciario,Servicios,Total,Pymes,43.3%,9.2%,29.5%,9.4%,26,11.4%,6.7%,1.5%,2.8%,3.4%,3.9%,2.1%,5.7%,5,6.5%,7.8%,4.7%,3.2%,0.6%,6.1%,  4 ,  12 
2017,Total,Sector Terciario,Servicios,Total,Grandes,69.8%,5.2%,54.3%,18.5%,42,19.8%,14.5%,9.0%,2.2%,8.0%,1.3%,3.1%,10.0%,9,18.8%,14.1%,16.3%,7.6%,10.8%,4.6%,  14 ,  22 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Total,29.7%,10.7%,19.4%,5.7%,18,8.4%,6.8%,0.0%,0.0%,5.9%,3.4%,0.0%,3.7%,4,3.9%,4.9%,0.0%,0.0%,2.0%,4.9%,  2 ,  8 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,13.8%,11.0%,4.9%,0.0%,8,3.3%,6.0%,0.0%,0.0%,4.4%,0.0%,0.0%,3.3%,2,0.0%,0.0%,0.0%,0.0%,4.4%,0.0%,  1 ,  4 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,36.6%,9.2%,25.0%,9.9%,22,11.7%,0.0%,0.0%,0.0%,0.0%,8.1%,0.0%,5.2%,3,0.0%,7.0%,0.0%,0.0%,0.0%,7.0%,  1 ,  9 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,61.7%,15.0%,50.4%,11.3%,39,15.0%,31.9%,0.0%,0.0%,30.0%,0.0%,0.0%,0.0%,11,30.0%,15.0%,0.0%,0.0%,0.0%,15.0%,  10 ,  20 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,19.7%,16.2%,13.9%,6.6%,15,9.8%,8.5%,0.0%,1.7%,0.0%,0.7%,0.0%,1.9%,3,2.0%,3.9%,4.0%,0.0%,2.0%,3.8%,  3 ,  7 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,9.2%,19.4%,12.8%,6.1%,12,12.3%,10.7%,0.0%,2.7%,0.0%,1.1%,0.0%,3.0%,3,0.0%,6.2%,0.0%,0.0%,0.0%,3.2%,  1 ,  5 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,34.3%,11.2%,10.8%,7.9%,17,5.8%,5.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,5.8%,0.0%,5.8%,0.0%,0.0%,5.0%,  3 ,  7 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Total,41.9%,13.5%,51.5%,4.4%,32,12.9%,7.6%,3.4%,3.3%,4.1%,4.2%,14.8%,5.4%,8,17.0%,18.0%,12.5%,12.3%,2.3%,20.0%,  12 ,  17 
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Micros,16.7%,24.7%,24.2%,0.0%,17,6.2%,0.0%,2.2%,0.0%,1.7%,2.2%,11.2%,2.2%,5,4.5%,9.0%,4.5%,9.0%,0.0%,17.4%,  5 ,  9 
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Pymes,72.7%,2.4%,78.2%,7.8%,47,23.5%,16.1%,5.5%,7.8%,7.8%,7.5%,21.9%,10.2%,14,30.1%,32.5%,21.9%,16.1%,5.5%,24.3%,  20 ,  27 
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,32.2%,6.6%,29.9%,6.2%,21,9.8%,1.8%,1.8%,1.4%,1.4%,4.2%,0.5%,4.1%,3,3.2%,6.9%,0.9%,0.9%,2.0%,1.8%,  2 ,  9 
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,17.7%,9.8%,28.3%,4.9%,17,3.9%,2.0%,0.0%,0.0%,2.0%,3.0%,0.0%,4.9%,2,2.0%,2.9%,0.0%,0.0%,0.0%,2.0%,  1 ,  6 
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,39.2%,4.8%,30.1%,5.9%,23,11.1%,2.2%,0.0%,2.2%,0.0%,5.6%,0.0%,2.2%,3,1.1%,10.8%,0.0%,1.1%,2.6%,0.0%,  2 ,  9 
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,68.0%,0.0%,36.3%,12.9%,34,30.2%,0.0%,17.3%,4.3%,4.3%,4.3%,4.3%,8.6%,12,17.3%,8.6%,8.6%,4.3%,8.6%,8.6%,  10 ,  19 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,39.2%,10.7%,24.9%,9.9%,23,9.1%,9.8%,2.3%,3.7%,3.7%,3.5%,0.9%,6.1%,4,3.8%,6.1%,2.4%,5.2%,0.7%,5.1%,  3 ,  10 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,22.3%,16.6%,17.9%,7.8%,17,3.7%,6.5%,1.0%,2.7%,3.1%,3.0%,1.2%,6.7%,3,3.3%,3.1%,0.0%,3.8%,1.4%,3.0%,  2 ,  7 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,50.8%,6.2%,29.5%,9.9%,27,13.3%,11.4%,1.4%,4.0%,4.8%,4.5%,0.8%,6.4%,5,3.6%,6.8%,3.1%,5.0%,0.0%,7.8%,  3 ,  12 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,79.8%,0.0%,43.2%,26.1%,42,18.2%,23.7%,19.5%,9.1%,0.0%,0.0%,0.0%,0.0%,9,9.1%,23.7%,14.6%,18.2%,0.0%,0.0%,  9 ,  20 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,31.2%,9.0%,22.9%,9.6%,20,9.2%,1.2%,0.5%,2.3%,3.1%,8.7%,0.6%,6.3%,4,4.4%,8.6%,3.1%,2.8%,1.3%,1.9%,  3 ,  9 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,25.2%,9.8%,22.0%,5.9%,17,9.1%,0.0%,0.0%,3.0%,2.0%,10.3%,1.0%,4.1%,3,2.0%,7.4%,1.0%,3.0%,2.0%,3.0%,  2 ,  8 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,37.6%,8.4%,23.5%,11.5%,22,10.0%,1.5%,1.5%,1.3%,5.1%,6.6%,0.0%,8.9%,4,5.9%,7.9%,5.1%,1.3%,0.0%,0.0%,  4 ,  10 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,78.8%,0.0%,36.4%,63.6%,47,0.0%,21.2%,0.0%,0.0%,0.0%,0.0%,0.0%,21.2%,2,36.4%,42.4%,21.2%,15.2%,0.0%,0.0%,  19 ,  23 
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Total,39.6%,18.4%,48.4%,8.3%,32,9.1%,7.2%,0.0%,0.0%,0.0%,2.8%,0.0%,8.4%,3,0.0%,20.1%,0.0%,6.5%,8.4%,5.6%,  5 ,  13 
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Pymes,30.4%,29.3%,58.1%,0.0%,32,0.0%,6.3%,0.0%,0.0%,0.0%,6.3%,0.0%,0.0%,1,0.0%,26.9%,0.0%,10.9%,6.3%,12.5%,  6 ,  13 
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Grandes,51.7%,14.5%,49.3%,22.7%,38,20.7%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,15.5%,5,0.0%,22.2%,0.0%,4.3%,7.7%,0.0%,  4 ,  16 
2017,Total,Sector Terciario,Servicios,Educación,Total,43.5%,13.9%,37.6%,15.5%,30,14.6%,9.8%,11.2%,7.4%,13.0%,4.4%,5.1%,17.1%,11,12.0%,12.3%,2.8%,6.9%,3.0%,2.3%,  6 ,  16 
2017,Total,Sector Terciario,Servicios,Educación,Micros,21.6%,15.4%,8.8%,0.0%,12,2.7%,0.0%,0.0%,0.0%,0.0%,12.7%,0.0%,12.7%,2,4.0%,12.7%,0.0%,12.7%,4.0%,0.0%,  4 ,  6 
