Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con una estrategia digital específica ,Porcentaje de las empresas abiertas a una transformación digital ,Porcentaje de las empresas que desarrollaron la estrategia y ya esta implementada,Porcentaje de las empresas que desarrollaron la estrategia y esta en proceso de implementacion en 2 años ,Porcentaje de las emrpesas que estan midiendo la transformación digital ,Porcentaje de las empresas que han definido indicadores de desempeño, ESTRATEGIA ,Quien dirigue la estrategia digital de la empresa? ,Quién es el responsable de desarrollar la vision empresarial de los negocios digitales de su organización? , GOBERNANZA ,Porcentaje de las empresas cuyos empleados estan preparados para una estrategia digital ,Porcentaje de las empresas cuyos RRHH son adecuados/suficientes para desarrollar la transfromacion digital , CAPITAL HUMANO , Calculo del Indice 
2017,Total,Sector Secundario,Total,Total,Grandes,16.1%,35.4%,1.8%,10.4%,38.3%,19.8%,  19 ,39.6%,41.0%,  40 ,21.6%,26.6%,  24 ,  28 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Total,11.1%,21.4%,4.2%,5.1%,15.6%,7.1%,  11 ,32.0%,33.4%,  33 ,12.4%,23.2%,  18 ,  20 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Micros,10.3%,23.0%,5.4%,5.1%,17.9%,4.7%,  11 ,38.0%,39.0%,  39 ,16.7%,28.7%,  23 ,  24 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Pymes,10.8%,18.6%,3.4%,4.5%,10.8%,8.3%,  9 ,25.9%,27.4%,  27 ,7.7%,17.8%,  13 ,  16 
2017,Total,Sector Secundario,Industrias manufactureras,Total,Grandes,19.0%,32.3%,2.6%,10.3%,38.4%,14.7%,  20 ,39.5%,42.6%,  41 ,20.5%,28.2%,  24 ,  28 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,11.0%,22.0%,7.2%,2.3%,19.8%,12.8%,  12 ,36.0%,35.2%,  36 ,14.2%,26.7%,  20 ,  23 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,6.6%,23.9%,10.0%,2.3%,20.5%,12.3%,  12 ,43.8%,42.4%,  43 ,15.9%,32.7%,  24 ,  26 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,13.2%,17.6%,3.6%,2.7%,15.8%,13.5%,  11 ,24.8%,24.6%,  25 ,11.7%,20.4%,  16 ,  17 
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,30.0%,35.7%,9.1%,0.0%,39.2%,12.6%,  23 ,48.3%,48.3%,  48 ,18.2%,21.7%,  20 ,  31 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,2.6%,15.2%,2.8%,8.6%,14.9%,4.3%,  7 ,26.9%,27.0%,  27 ,7.7%,17.9%,  13 ,  16 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,0.0%,9.6%,4.8%,4.8%,15.9%,0.0%,  6 ,19.7%,21.6%,  21 ,4.8%,15.9%,  10 ,  12 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,1.5%,13.5%,1.9%,7.3%,9.2%,4.4%,  5 ,27.4%,26.2%,  27 ,7.3%,14.3%,  11 ,  14 
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,27.5%,24.3%,4.7%,3.7%,16.8%,2.0%,  16 ,38.3%,43.7%,  41 ,15.0%,28.3%,  22 ,  26 
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,29.1%,27.4%,6.8%,0.0%,15.1%,0.0%,  16 ,40.1%,40.1%,  40 ,17.1%,27.4%,  22 ,  26 
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,31.1%,26.2%,3.8%,7.6%,15.6%,4.2%,  17 ,41.4%,49.0%,  45 ,10.0%,34.2%,  22 ,  28 
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,11.6%,30.9%,0.0%,7.3%,12.8%,5.6%,  10 ,34.5%,37.6%,  36 ,9.9%,26.0%,  18 ,  21 
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,6.4%,26.7%,0.0%,8.3%,10.7%,2.6%,  8 ,35.1%,37.4%,  36 ,14.7%,24.4%,  20 ,  21 
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,15.9%,32.2%,0.0%,7.0%,11.6%,8.1%,  12 ,33.2%,37.0%,  35 ,3.5%,25.1%,  14 ,  20 
2017,Total,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,15.8%,31.1%,6.4%,11.2%,21.4%,9.1%,  15 ,35.5%,38.4%,  37 ,26.2%,39.4%,  33 ,  28 
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,16.9%,33.7%,8.4%,12.0%,22.8%,0.0%,  16 ,44.9%,50.4%,  48 ,42.1%,58.9%,  50 ,  38 
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,12.3%,28.6%,5.2%,7.1%,18.8%,21.5%,  14 ,25.9%,27.2%,  27 ,12.3%,18.8%,  16 ,  19 
2017,Total,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,8.0%,14.3%,2.6%,3.2%,12.1%,5.5%,  8 ,24.5%,26.0%,  25 ,10.5%,13.7%,  12 ,  15 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,11.4%,21.8%,1.7%,7.5%,22.1%,3.2%,  11 ,42.0%,43.7%,  43 ,19.3%,23.7%,  22 ,  25 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,4.5%,8.1%,3.6%,0.0%,3.7%,6.3%,  4 ,11.3%,12.9%,  12 ,4.3%,5.5%,  5 ,  7 
2017,Total,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,16.6%,16.6%,0.0%,0.0%,16.6%,16.6%,  12 ,13.3%,13.3%,  13 ,0.0%,16.6%,  8 ,  11 
2017,Total,Sector Secundario,Servicios Publicos,Total,Total,14.2%,51.0%,19.0%,7.3%,15.8%,20.4%,  19 ,59.9%,60.8%,  60 ,36.1%,42.8%,  39 ,  40 
2017,Total,Sector Secundario,Servicios Publicos,Total,Micros,0.0%,25.7%,0.0%,8.6%,0.0%,8.6%,  4 ,37.5%,37.5%,  38 ,20.4%,29.0%,  25 ,  22 
2017,Total,Sector Secundario,Servicios Publicos,Total,Pymes,20.2%,57.2%,40.4%,0.0%,0.0%,5.5%,  20 ,71.5%,74.4%,  73 ,40.4%,51.6%,  46 ,  46 
2017,Total,Sector Secundario,Servicios Publicos,Total,Grandes,16.4%,61.9%,0.0%,18.2%,54.7%,54.7%,  29 ,59.7%,57.9%,  59 ,42.2%,40.1%,  41 ,  43 
2017,Total,Sector Secundario,Construccion,Total,Total,9.2%,29.5%,6.1%,10.8%,24.1%,10.5%,  14 ,36.7%,40.1%,  38 ,12.8%,24.5%,  19 ,  24 
2017,Total,Sector Secundario,Construccion,Total,Micros,0.0%,24.8%,8.3%,0.0%,10.9%,0.0%,  6 ,37.3%,36.9%,  37 ,9.1%,18.6%,  14 ,  19 
2017,Total,Sector Secundario,Construccion,Total,Pymes,12.2%,31.3%,5.7%,14.3%,28.2%,13.8%,  16 ,37.2%,42.0%,  40 ,14.3%,27.0%,  21 ,  26 
2017,Total,Sector Secundario,Construccion,Total,Grandes,0.0%,16.0%,0.0%,0.0%,16.0%,0.0%,  5 ,12.8%,9.6%,  11 ,0.0%,0.0%, - ,  5 
2017,Total,Sector Terciario,Total,Total,Total,11.0%,21.1%,4.4%,7.7%,12.6%,5.8%,  10 ,29.7%,30.3%,  30 ,10.9%,19.4%,  15 ,  18 
2017,Total,Sector Terciario,Total,Total,Micros,10.4%,18.9%,3.9%,5.9%,11.6%,3.7%,  9 ,27.9%,28.8%,  28 ,10.3%,18.3%,  14 ,  17 
2017,Total,Sector Terciario,Total,Total,Pymes,10.2%,22.4%,5.4%,7.6%,12.1%,7.1%,  10 ,29.0%,28.9%,  29 ,10.4%,18.7%,  15 ,  18 
2017,Total,Sector Terciario,Total,Total,Grandes,23.6%,44.1%,5.1%,33.8%,31.3%,28.1%,  25 ,59.4%,60.9%,  60 ,22.8%,39.8%,  31 ,  39 
2017,Total,Sector Terciario,Comercio,Total,Total,10.8%,19.4%,4.7%,8.0%,12.4%,3.3%,  10 ,30.5%,30.2%,  30 ,10.0%,18.1%,  14 ,  18 
2017,Total,Sector Terciario,Comercio,Total,Micros,10.8%,17.9%,4.1%,4.9%,12.8%,3.1%,  9 ,29.0%,28.9%,  29 ,9.3%,16.2%,  13 ,  17 
2017,Total,Sector Terciario,Comercio,Total,Pymes,7.4%,20.4%,7.5%,10.0%,7.7%,0.0%,  8 ,27.8%,26.3%,  27 ,9.5%,18.9%,  14 ,  17 
2017,Total,Sector Terciario,Comercio,Total,Grandes,37.3%,51.2%,0.0%,74.6%,37.3%,37.3%,  35 ,94.0%,96.3%,  95 ,32.6%,62.7%,  48 ,  59 
2017,Total,Sector Terciario,Servicios,Total,Total,11.1%,23.0%,4.1%,7.3%,12.9%,8.5%,  11 ,28.7%,30.4%,  30 ,11.8%,20.7%,  16 ,  19 
2017,Total,Sector Terciario,Servicios,Total,Micros,9.8%,20.4%,3.7%,7.3%,9.8%,4.6%,  9 ,26.3%,28.7%,  27 ,11.7%,21.2%,  16 ,  18 
2017,Total,Sector Terciario,Servicios,Total,Pymes,11.9%,23.6%,4.1%,6.1%,14.7%,11.2%,  11 ,29.7%,30.5%,  30 ,11.0%,18.5%,  15 ,  19 
2017,Total,Sector Terciario,Servicios,Total,Grandes,17.3%,40.8%,7.4%,14.9%,28.6%,23.9%,  20 ,43.4%,44.6%,  44 ,18.4%,29.2%,  24 ,  29 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Total,8.3%,17.5%,3.8%,7.6%,17.2%,13.5%,  11 ,24.2%,23.7%,  24 ,9.9%,17.2%,  14 ,  16 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,3.2%,9.3%,1.6%,4.9%,7.6%,6.6%,  5 ,15.7%,16.4%,  16 ,4.4%,7.6%,  6 ,  9 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,11.6%,18.6%,7.2%,0.0%,19.7%,12.2%,  12 ,24.2%,22.5%,  23 ,10.7%,19.7%,  15 ,  17 
2017,Total,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,15.0%,41.2%,0.0%,41.2%,41.2%,41.2%,  25 ,52.9%,52.9%,  53 ,26.3%,41.2%,  34 ,  37 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,7.2%,13.6%,2.6%,2.7%,3.8%,4.5%,  6 ,18.7%,22.6%,  21 ,2.7%,18.5%,  11 ,  12 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,7.1%,16.0%,4.1%,4.3%,3.2%,3.2%,  6 ,19.6%,25.1%,  22 ,4.3%,23.0%,  14 ,  14 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,7.9%,10.0%,0.0%,0.0%,5.0%,7.1%,  5 ,18.2%,19.2%,  19 ,0.0%,11.2%,  6 ,  10 
2017,Total,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Total,18.3%,42.3%,3.4%,20.1%,24.5%,14.4%,  19 ,46.7%,46.7%,  47 ,25.8%,30.2%,  28 ,  31 
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Micros,22.7%,32.9%,2.2%,17.7%,24.4%,13.0%,  18 ,38.7%,37.7%,  38 ,22.2%,33.7%,  28 ,  28 
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Pymes,13.7%,54.0%,5.5%,21.5%,29.4%,18.8%,  21 ,58.1%,59.2%,  59 ,35.2%,29.4%,  32 ,  37 
2017,Total,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,5.1%,21.2%,3.2%,2.7%,13.7%,8.7%,  8 ,24.0%,24.4%,  24 ,10.8%,13.3%,  12 ,  15 
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,2.0%,20.7%,1.0%,1.0%,2.9%,2.9%,  4 ,21.4%,21.0%,  21 ,9.8%,10.8%,  10 ,  12 
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,5.4%,21.6%,5.4%,5.2%,22.5%,14.0%,  11 ,26.6%,26.3%,  26 ,11.4%,16.0%,  14 ,  17 
2017,Total,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,17.3%,21.6%,4.3%,0.0%,25.9%,12.9%,  15 ,25.0%,31.9%,  28 ,12.9%,12.9%,  13 ,  19 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,12.3%,27.5%,6.4%,7.6%,15.9%,9.0%,  13 ,35.1%,35.7%,  35 ,13.9%,20.8%,  17 ,  22 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,9.4%,24.2%,6.7%,12.7%,16.1%,5.5%,  12 ,32.0%,34.0%,  33 ,17.5%,22.6%,  20 ,  22 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,14.0%,29.2%,5.7%,2.5%,13.7%,9.7%,  12 ,36.3%,35.5%,  36 ,10.0%,16.5%,  13 ,  20 
2017,Total,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,22.5%,40.7%,9.1%,7.9%,31.6%,31.6%,  23 ,50.8%,50.8%,  51 ,17.0%,40.7%,  29 ,  34 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,13.3%,22.9%,3.6%,7.7%,11.4%,6.9%,  11 ,26.3%,28.1%,  27 ,12.9%,18.1%,  15 ,  18 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,15.2%,21.6%,3.8%,5.2%,10.5%,3.7%,  10 ,25.5%,27.3%,  26 ,14.4%,17.1%,  16 ,  18 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,9.2%,18.9%,3.6%,11.0%,11.0%,10.2%,  10 ,21.9%,23.8%,  23 ,11.2%,20.2%,  16 ,  16 
2017,Total,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,21.2%,100.0%,0.0%,21.2%,36.4%,36.4%,  29 ,95.8%,97.0%,  96 ,0.0%,15.2%,  8 ,  44 
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Total,9.8%,46.1%,8.4%,16.3%,21.1%,11.1%,  16 ,47.7%,48.7%,  48 ,15.5%,26.7%,  21 ,  28 
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Pymes,0.0%,56.2%,0.0%,20.6%,18.8%,0.0%,  11 ,56.2%,61.6%,  59 ,12.2%,31.4%,  22 ,  31 
2017,Total,Sector Terciario,Servicios,Administración pública y defensa,Grandes,27.1%,49.8%,7.7%,19.3%,27.1%,30.5%,  25 ,46.4%,42.4%,  44 ,12.1%,27.1%,  20 ,  30 
2017,Total,Sector Terciario,Servicios,Educación,Total,19.3%,39.2%,6.8%,9.4%,27.7%,23.7%,  20 ,38.7%,43.2%,  41 ,30.6%,33.5%,  32 ,  31 
2017,Total,Sector Terciario,Servicios,Educación,Micros,12.7%,25.4%,0.0%,0.0%,12.7%,12.7%,  10 ,25.1%,27.6%,  26 ,28.1%,12.7%,  20 ,  19 
2017,Total,Sector Terciario,Servicios,Educación,Pymes,21.4%,41.5%,9.6%,10.7%,29.2%,28.4%,  22 ,46.0%,50.2%,  48 ,29.4%,38.2%,  34 ,  35 
2017,Total,Sector Terciario,Servicios,Educación,Grandes,18.3%,45.1%,3.0%,14.4%,37.8%,16.8%,  21 ,24.7%,32.3%,  28 ,37.8%,37.8%,  38 ,  29 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,12.6%,19.4%,3.0%,9.7%,13.3%,4.0%,  10 ,26.1%,26.5%,  26 ,9.8%,14.2%,  12 ,  16 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,5.3%,21.8%,0.0%,5.3%,10.3%,1.3%,  7 ,20.3%,19.8%,  20 ,11.7%,11.5%,  12 ,  13 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,31.6%,19.8%,0.0%,19.8%,22.7%,6.5%,  19 ,38.6%,41.3%,  40 ,10.9%,21.5%,  16 ,  25 
2017,Total,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,0.0%,8.8%,21.4%,4.4%,4.4%,8.8%,  7 ,21.5%,20.6%,  21 ,0.0%,8.8%,  4 ,  11 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,9.9%,23.1%,5.4%,6.9%,15.2%,8.3%,  11 ,40.2%,41.7%,  41 ,15.7%,36.8%,  26 ,  26 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,6.7%,20.0%,1.8%,9.9%,8.3%,1.6%,  7 ,53.0%,53.0%,  53 ,13.2%,43.1%,  28 ,  29 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,3.1%,10.8%,4.6%,3.1%,7.7%,7.7%,  6 ,6.3%,10.8%,  9 ,0.0%,10.8%,  5 ,  7 
2017,Total,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Total,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Micros,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Pymes,,,,,,,,,,,,,,
2017,Total,Sector Terciario,Servicios,Otros servicios,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Total,Total,Total,Total,15.5%,36.4%,10.1%,10.1%,22.9%,13.4%,  17 ,42.0%,43.0%,  43 ,16.4%,38.7%,  28 ,  29 
2017,Region Atlantico,Total,Total,Total,Micros,14.2%,29.3%,8.8%,12.4%,23.7%,12.9%,  16 ,37.1%,38.2%,  38 ,17.5%,36.6%,  27 ,  27 
2017,Region Atlantico,Total,Total,Total,Pymes,14.2%,41.7%,11.9%,6.3%,18.3%,9.9%,  16 ,46.1%,47.3%,  47 ,12.9%,39.0%,  26 ,  30 
2017,Region Atlantico,Total,Total,Total,Grandes,41.4%,67.8%,7.3%,17.4%,53.0%,49.3%,  38 ,59.0%,59.7%,  59 ,34.7%,59.7%,  47 ,  48 
2017,Region Atlantico,Sector Primario,Total,Total,Total,5.2%,5.2%,2.5%,0.0%,7.1%,6.1%,  5 ,17.5%,20.4%,  19 ,7.9%,7.1%,  8 ,  10 
2017,Region Atlantico,Sector Primario,Total,Total,Micros,0.0%,11.6%,0.0%,0.0%,11.6%,0.0%,  3 ,44.0%,44.0%,  44 ,23.2%,11.6%,  17 ,  22 
2017,Region Atlantico,Sector Primario,Total,Total,Pymes,7.0%,2.3%,2.3%,0.0%,4.7%,7.0%,  4 ,8.6%,12.4%,  10 ,2.3%,4.7%,  3 ,  6 
2017,Region Atlantico,Sector Primario,Total,Total,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Total,3.0%,3.0%,0.0%,0.0%,6.1%,3.0%,  3 ,15.2%,17.6%,  16 ,6.1%,6.1%,  6 ,  8 
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Pymes,4.0%,0.0%,0.0%,0.0%,4.0%,4.0%,  2 ,4.8%,8.0%,  6 ,0.0%,4.0%,  2 ,  4 
2017,Region Atlantico,Sector Primario,Agricultura y ganadería,Total,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Total,23.1%,23.1%,23.1%,0.0%,15.4%,30.8%,  20 ,36.9%,43.1%,  40 ,23.1%,15.4%,  19 ,  26 
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Micros,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Pymes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,
2017,Region Atlantico,Sector Secundario,Total,Total,Total,6.6%,30.8%,2.9%,5.6%,23.2%,4.6%,  11 ,35.6%,35.2%,  35 ,11.4%,30.2%,  21 ,  22 
2017,Region Atlantico,Sector Secundario,Total,Total,Micros,2.8%,30.9%,2.8%,7.6%,16.6%,4.7%,  9 ,33.6%,29.2%,  31 ,10.4%,37.1%,  24 ,  21 
2017,Region Atlantico,Sector Secundario,Total,Total,Pymes,5.2%,27.2%,1.7%,1.7%,25.5%,3.5%,  10 ,33.1%,35.1%,  34 ,10.2%,23.9%,  17 ,  20 
2017,Region Atlantico,Sector Secundario,Total,Total,Grandes,32.1%,56.0%,11.9%,23.9%,35.8%,11.9%,  28 ,61.5%,61.5%,  61 ,23.9%,44.0%,  34 ,  41 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Total,11.1%,24.1%,5.6%,9.3%,14.8%,7.4%,  11 ,33.3%,34.1%,  34 ,13.0%,24.1%,  19 ,  21 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Micros,4.0%,20.0%,4.0%,8.0%,8.0%,4.0%,  7 ,20.8%,20.8%,  21 ,12.0%,16.0%,  14 ,  14 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Pymes,13.6%,18.2%,4.5%,4.5%,13.6%,9.1%,  11 ,37.3%,39.1%,  38 ,9.1%,27.3%,  18 ,  22 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,Total,Grandes,28.6%,57.1%,14.3%,28.6%,42.9%,14.3%,  30 ,65.7%,65.7%,  66 ,28.6%,42.9%,  36 ,  44 
2017,Region Atlantico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,12.5%,31.3%,6.3%,0.0%,18.8%,0.0%,  12 ,32.5%,32.5%,  33 ,18.8%,18.8%,  19 ,  21 
